HAPLO	b	se	Z	p	FREQ_PROXY_CASE	FREQ_CONTROL	b_adjusted	se_adjusted	p_derived
DQA1_301	-0.050878	0.01574	-3.232	0.00123	0.197203579	0.205082251	-0.101756	0.03148	0.001227544
DRB1_401	-0.058877	0.020386	-2.888	0.00388	0.110534236	0.11612822	-0.117754	0.040772	0.003875649
DQB1_302	-0.055251	0.020874	-2.647	0.00813	0.099113858	0.103851783	-0.110502	0.041748	0.008123787
DRB4_103	-0.03831	0.014575	-2.628	0.00858	0.254667466	0.261692844	-0.07662	0.02915	0.008576906
A_2301	0.106138	0.046099	2.302	0.0213	0.018801191	0.016832768	0.212276	0.092198	0.021313038
A_3002	0.128846	0.06124	2.104	0.03538	0.011021746	0.009721162	0.257692	0.12248	0.035382663
DRB1_101	0.037826	0.021215	1.783	0.07459	0.097830948	0.094027076	0.075652	0.04243	0.074588951
DRB1_1104	0.104821	0.059099	1.774	0.07612	0.012486915	0.011160406	0.209642	0.118198	0.076120897
DRB4_9901	0.023193	0.013179	1.76	0.0784	0.656280319	0.650954148	0.046386	0.026358	0.078434056
C_202	0.055661	0.032656	1.704	0.08829	0.038243837	0.035969636	0.111322	0.065312	0.088294301
DRB1_404	-0.05446	0.032886	-1.656	0.097714	0.038924619	0.040973261	-0.10892	0.065772	0.097716991
DQB1_501	0.030929	0.018928	1.634	0.10225	0.123612663	0.120054204	0.061858	0.037856	0.102251662
B_5501	-0.076393	0.04826	-1.583	0.11344	0.016987036	0.018399652	-0.152786	0.09652	0.11343365
DQB1_202	0.033491	0.022723	1.474	0.14051	0.106943098	0.103983746	0.066982	0.045446	0.14051361
A_2501	-0.077202	0.053193	-1.451	0.1467	0.015928081	0.017157647	-0.154404	0.106386	0.146680649
B_4403	0.03673	0.026162	1.404	0.16033	0.061061024	0.058840562	0.07346	0.052324	0.160335332
DPB1_402	0.028376	0.020233	1.402	0.16078	0.111488758	0.108145662	0.056752	0.040466	0.160777532
DRB1_701	0.0241	0.017578	1.371	0.17037	0.148301296	0.145609378	0.0482	0.035156	0.17036499
DQB1_503	-0.059148	0.043757	-1.352	0.17647	0.020780575	0.02178158	-0.118296	0.087514	0.176459142
DQA1_201	0.023566	0.017654	1.335	0.1819	0.148397914	0.14580396	0.047132	0.035308	0.181915097
DRB1_1401	-0.0617145	0.0469428	-1.315	0.18862	0.018615235	0.019531588	-0.123429	0.0938856	0.188619335
B_4901	0.073713	0.056631	1.302	0.19304	0.012403159	0.011487162	0.147426	0.113262	0.193040535
A_2601	0.058958	0.045603	1.293	0.19606	0.020322172	0.019219818	0.117916	0.091206	0.196061719
B_3701	-0.066454	0.056084	-1.185	0.23605	0.012554016	0.013545577	-0.132908	0.112168	0.236056505
